id,name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,room_type,accommodates,beds,price,minimum_nights
881381807653323e3,Home in Minneapolis · ★5.0 · 1 bedroom · 1 bed · 1 bath,100,100,TRUE,1,Entire home/apt,4,1,163,2
831402456466571e3,Home in Minneapolis · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,100,88,TRUE,1,Entire home/apt,2,1,85,28
847229588394661500,Home in Garrison · ★5.0 · 3 bedrooms · 5 beds · 2 baths,100,99,TRUE,25,Entire home/apt,7,5,252,2
679959917045130800,Home in Vadnais Heights · ★4.95 · 5 bedrooms · 5 beds · 3 baths,100,100,TRUE,4,Entire home/apt,10,5,414,4
47353621,Home in Saint Paul · ★5.0 · 3 bedrooms · 5 beds · 1 bath,100,100,TRUE,1,Entire home/apt,6,5,151,7
21746343,Home in Minneapolis · ★4.93 · 3 bedrooms · 3 beds · 1 bath,100,99,TRUE,4,Entire home/apt,8,3,179,1
37493007,Home in Saint ANTHNY VLG · ★5.0 · 1 bedroom · 1 bed · 5 baths,92,73,TRUE,98,Private room,2,1,52,7
15164723,Townhouse in Saint Bonifacius · 1 bedroom · 2 beds · 1.5 baths,NA,NA,FALSE,1,Private room,3,2,250,2
21109415,Guest suite in Bayport · ★4.95 · Studio · 1 bed · 1 bath,NA,NA,FALSE,1,Entire home/apt,2,1,NA,1
52633589,Home in Saint Paul · ★4.93 · 2 bedrooms · 2 beds · 1 bath,100,99,TRUE,2,Entire home/apt,4,2,177,2
1014711941364321400,Cabin in Lindstrom · ★New · 2 bedrooms · 3 beds · 1 bath,100,75,FALSE,2,Entire home/apt,6,3,150,30
965269725036571800,Home in Minneapolis · ★New · 1 bedroom · 2 beds · 1 bath,100,100,FALSE,1,Entire home/apt,3,2,73,2
650618728768909600,Home in Minneapolis · ★4.98 · 3 bedrooms · 4 beds · 1 bath,100,100,TRUE,1,Entire home/apt,6,4,143,1
36233681,Cabin in Annandale · ★4.99 · 2 bedrooms · 3 beds · 1 bath,100,100,TRUE,1,Entire home/apt,6,3,195,4
995694349233295e3,Home in Minneapolis · ★4.73 · 3 bedrooms · 4 beds · 1 bath,100,97,TRUE,2,Entire home/apt,7,4,135,2
762459679404911500,Home in Champlin · ★5.0 · 4 bedrooms · 4 beds · 3.5 baths,99,100,TRUE,102,Entire home/apt,8,4,145,1
38290651,Condo in Minneapolis · ★4.86 · 1 bedroom · 1 bed · 1 private bath,NA,0,FALSE,1,Private room,2,1,50,2
857899946612214300,Home in Blaine · ★5.0 · 5 bedrooms · 13 beds · 3 baths,99,99,FALSE,890,Entire home/apt,16,13,337,2
547740326632626050,Home in Saint Paul · ★4.91 · 3 bedrooms · 4 beds · 2 baths,100,99,TRUE,7,Entire home/apt,9,4,115,3
23980495,Home in Saint Paul · ★4.94 · 1 bedroom · 3 beds · 1 private bath,NA,64,FALSE,2,Private room,2,3,75,3
22485860,Home in Prior Lake · 6 bedrooms · 4 beds · 3 baths,NA,NA,FALSE,1,Entire home/apt,10,4,1490,4
985401079445294200,Cabin in Rockford · 1 bedroom · 1 bed · 1 bath,100,98,TRUE,3,Entire home/apt,4,1,221,2
45789799,Guest suite in New Prague · ★5.0 · Studio · 3 beds · 1 bath,100,0,FALSE,1,Entire home/apt,4,3,70,1
53969459,Home in Excelsior · ★4.63 · 7 bedrooms · 7 beds · 6.5 baths,99,100,TRUE,102,Entire home/apt,16,7,997,1
986342890483123100,Home in Plymouth · ★New · 4 bedrooms · 4 beds · 2.5 baths,100,100,TRUE,2,Entire home/apt,9,4,292,3
41126841,Home in Saint Paul · ★4.64 · 1 bedroom · 1 bed · 1.5 shared baths,92,73,TRUE,98,Private room,1,1,50,2
692811563488919400,Home in Minneapolis · ★5.0 · 4 bedrooms · 6 beds · 3.5 baths,100,99,TRUE,13,Entire home/apt,10,6,528,4
622618659346307100,Home in Minneapolis · ★5.0 · 3 bedrooms · 3 beds · 2 baths,100,100,TRUE,1,Entire home/apt,6,3,288,2
676014528613030400,Home in Excelsior · 3 bedrooms · 4 beds · 2 baths,100,100,FALSE,5,Entire home/apt,8,4,139,30
53775258,Home in Minneapolis · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,100,94,TRUE,6,Entire home/apt,6,4,222,4
745538092141551200,Cottage in Zimmerman · ★4.82 · 2 bedrooms · 3 beds · 1 bath,100,100,TRUE,2,Entire home/apt,5,3,185,2
1044244770989912300,Rental unit in Minneapolis · ★New · Studio · 1 bed · 1 bath,100,99,FALSE,21,Entire home/apt,3,1,83,30
38071239,Home in Shoreview · ★4.89 · 1 bedroom · 1 bed · 1 private bath,100,100,TRUE,1,Private room,2,1,40,1
22342751,Home in Lindstrom · ★5.0 · 5 bedrooms · 10 beds · 3.5 baths,100,100,FALSE,1,Entire home/apt,16,10,331,2
1004736509215484400,Home in Minneapolis · ★New · 2 bedrooms · 2 beds · 1.5 baths,100,25,FALSE,2,Entire home/apt,6,2,50,30
22910673,Home in Minneapolis · 4 bedrooms · 8 beds · 2.5 baths,NA,NA,FALSE,1,Entire home/apt,16,8,700,4
965911432494283400,Home in Maplewood · 3 bedrooms · 3 beds · 1 bath,100,100,FALSE,1,Entire home/apt,6,3,270,1
43792047,Rental unit in Hastings · ★4.85 · 2 bedrooms · 2 beds · 2 baths,100,100,TRUE,30,Entire home/apt,4,2,122,1
