Occupation,n_total,med_weeklypay_tot,n_men,med_weeklypay_men,n_women,med_weeklypay_women,occupation_cat,occupation_subcat
Chief executives,1245,2908,791,3098,453,2325,"Management, business, and financial operations",Management
General and operations managers,1256,1739,826,1846,430,1558,"Management, business, and financial operations",Management
Legislators,11,,8,,4,,"Management, business, and financial operations",Management
Advertising and promotions managers,54,1655,30,,24,,"Management, business, and financial operations",Management
Marketing managers,572,1890,241,2285,331,1749,"Management, business, and financial operations",Management
Sales managers,548,1997,371,2085,176,1907,"Management, business, and financial operations",Management
Public relations and fundraising managers,130,1741,31,,100,1495,"Management, business, and financial operations",Management
Administrative services managers,110,1450,34,,75,1406,"Management, business, and financial operations",Management
Facilities managers,133,1538,110,1548,23,,"Management, business, and financial operations",Management
Computer and information systems managers,636,2599,467,2691,169,2305,"Management, business, and financial operations",Management
Financial managers,1373,1877,632,2023,741,1665,"Management, business, and financial operations",Management
Compensation and benefits managers,19,,5,,14,,"Management, business, and financial operations",Management
Human resources managers,284,1833,57,2288,227,1742,"Management, business, and financial operations",Management
Training and development managers,50,1411,25,,25,,"Management, business, and financial operations",Management
Industrial production managers,291,1905,234,1910,57,1890,"Management, business, and financial operations",Management
Purchasing managers,221,1752,109,1869,113,1662,"Management, business, and financial operations",Management
"Transportation, storage, and distribution managers",377,1340,312,1292,65,1508,"Management, business, and financial operations",Management
"Farmers, ranchers, and other agricultural managers",97,1045,73,1009,24,,"Management, business, and financial operations",Management
Construction managers,727,1879,665,1893,62,1383,"Management, business, and financial operations",Management
Education and childcare administrators,960,1769,351,1924,609,1619,"Management, business, and financial operations",Management
Architectural and engineering managers,198,2906,188,2907,9,,"Management, business, and financial operations",Management
Food service managers,687,1032,322,1250,365,910,"Management, business, and financial operations",Management
Funeral home managers,4,,2,,2,,"Management, business, and financial operations",Management
Entertainment and recreation managers,47,,26,,22,,"Management, business, and financial operations",Management
Lodging managers,78,1270,41,,37,,"Management, business, and financial operations",Management
Medical and health services managers,785,1595,179,1992,606,1539,"Management, business, and financial operations",Management
Natural sciences managers,39,,21,,17,,"Management, business, and financial operations",Management
Postmasters and mail superintendents,30,,15,,15,,"Management, business, and financial operations",Management
"Property, real estate, and community association managers",434,1384,192,1537,242,1212,"Management, business, and financial operations",Management
Social and community service managers,393,1473,111,1663,282,1396,"Management, business, and financial operations",Management
Emergency management directors,27,,13,,14,,"Management, business, and financial operations",Management
"Personal service managers, all other",56,1014,25,,31,,"Management, business, and financial operations",Management
"Managers, all other",3711,1905,2223,2089,1488,1702,"Management, business, and financial operations",Management
