Occupation,med_weeklypay_men,med_weeklypay_women,occupation_subcat
Computer and mathematical occupations,2138,1828,Professional and related
Computer and information research scientists,,,Professional and related
Computer systems analysts,1947,1658,Professional and related
Information security analysts,2255,,Professional and related
Computer programmers,2131,1406,Professional and related
Software developers,2523,2383,Professional and related
Software quality assurance analysts and testers,,,Professional and related
Web developers,,,Professional and related
Web and digital interface designers,,,Professional and related
Computer support specialists,1452,1348,Professional and related
Database administrators and architects,2581,,Professional and related
Network and computer systems administrators,1908,,Professional and related
Computer network architects,2248,,Professional and related
"Computer occupations, all other",1791,1507,Professional and related
Actuaries,,,Professional and related
Mathematicians,,,Professional and related
Operations research analysts,1819,1573,Professional and related
Statisticians,,,Professional and related
Other mathematical science occupations,2279,1844,Professional and related
"Architects, except landscape and naval",2367,1521,Architecture and engineering
Landscape architects,,,Architecture and engineering
"Surveyors, cartographers, and photogrammetrists",,,Architecture and engineering
Aerospace engineers,2248,,Architecture and engineering
Agricultural engineers,,,Architecture and engineering
Bioengineers and biomedical engineers,,,Architecture and engineering
Chemical engineers,2519,,Architecture and engineering
Civil engineers,2094,1706,Architecture and engineering
Computer hardware engineers,2295,,Architecture and engineering
Electrical and electronics engineers,2229,,Architecture and engineering
Environmental engineers,,,Architecture and engineering
"Industrial engineers, including health and safety",2001,1613,Architecture and engineering
Marine engineers and naval architects,,,Architecture and engineering
Materials engineers,,,Architecture and engineering
Mechanical engineers,2091,1915,Architecture and engineering
"Mining and geological engineers, including mining safety engineers",,,Architecture and engineering
Nuclear engineers,,,Architecture and engineering
Petroleum engineers,,,Architecture and engineering
"Engineers, all other",2190,2079,Architecture and engineering
Architectural and civil drafters,,,Architecture and engineering
Other drafters,1191,,Architecture and engineering
Electrical and electronic engineering technologists and technicians,1635,,Architecture and engineering
"Other engineering technologists and technicians, except drafters",1368,1027,Architecture and engineering
Surveying and mapping technicians,,,Architecture and engineering
Agricultural and food scientists,,,"Life, physical, and social science"
Biological scientists,1634,,"Life, physical, and social science"
Conservation scientists and foresters,,,"Life, physical, and social science"
Medical scientists,,1875,"Life, physical, and social science"
"Life scientists, all other",,,"Life, physical, and social science"
Astronomers and physicists,,,"Life, physical, and social science"
Atmospheric and space scientists,,,"Life, physical, and social science"
Chemists and materials scientists,2309,,"Life, physical, and social science"
"Environmental scientists and specialists, including health",,,"Life, physical, and social science"
"Geoscientists and hydrologists, except geographers",,,"Life, physical, and social science"
"Physical scientists, all other",1977,1566,"Life, physical, and social science"
Economists,,,"Life, physical, and social science"
Survey researchers,,,"Life, physical, and social science"
Clinical and counseling psychologists,,,"Life, physical, and social science"
School psychologists,,,"Life, physical, and social science"
Other psychologists,,,"Life, physical, and social science"
Sociologists,,,"Life, physical, and social science"
Urban and regional planners,,,"Life, physical, and social science"
Miscellaneous social scientists and related workers,,,"Life, physical, and social science"
Agricultural and food science technicians,,,"Life, physical, and social science"
Biological technicians,,,"Life, physical, and social science"
Chemical technicians,,,"Life, physical, and social science"
Environmental science and geoscience technicians,,,"Life, physical, and social science"
Nuclear technicians,,,"Life, physical, and social science"
Social science research assistants,,,"Life, physical, and social science"
"Other life, physical, and social science technicians",1440,1147,"Life, physical, and social science"
Occupational health and safety specialists and technicians,,,"Life, physical, and social science"
,1356,1225,Community and social service
Substance abuse and behavioral disorder counselors,,1155,Community and social service
"Educational, guidance, and career counselors and advisors",1160,1396,Community and social service
Marriage and family therapists,,,Community and social service
Mental health counselors,,1341,Community and social service
Rehabilitation counselors,,,Community and social service
"Counselors, all other",1073,1155,Community and social service
"Child, family, and school social workers",,1427,Community and social service
Healthcare social workers,,1347,Community and social service
Mental health and substance abuse social workers,,,Community and social service
"Social workers, all other",1536,1255,Community and social service
Probation officers and correctional treatment specialists,,,Community and social service
Social and human service assistants,,992,Community and social service
Other community and social service specialists,,1196,Community and social service
Clergy,1379,1267,Community and social service
"Directors, religious activities and education",,,Community and social service
"Religious workers, all other",,,Community and social service
Lawyers,2890,2321,Legal
Judicial law clerks,,,Legal
"Judges, magistrates, and other judicial workers",,,Legal
Paralegals and legal assistants,1896,1166,Legal
"Title examiners, abstractors, and searchers",,962,Legal
"Legal support workers, all other",,,Legal
Postsecondary teachers,1967,1739,"Education, training, and library"
Preschool and kindergarten teachers,,835,"Education, training, and library"
Elementary and middle school teachers,1386,1259,"Education, training, and library"
