age,count,count_millions,percent,generation
0,3618898,3.618898,1.058823387,Generation Alpha
1,3642657,3.642657,1.065774836,Generation Alpha
2,3725891,3.725891,1.090127583,Generation Alpha
3,3791993,3.791993,1.109467819,Generation Alpha
4,3712428,3.712428,1.086188555,Generation Alpha
5,3833003,3.833003,1.121466596,Generation Alpha
6,3887513,3.887513,1.137415225,Generation Alpha
7,3958385,3.958385,1.158151076,Generation Alpha
8,4013109,4.013109,1.174162318,Generation Alpha
9,4095711,4.095711,1.198330153,Generation Alpha
10,4119512,4.119512,1.20529389,Generation Alpha
11,4102351,4.102351,1.200272896,Generation Alpha
12,4106943,4.106943,1.201616431,Generation Alpha
13,4116277,4.116277,1.204347389,Generation Alpha
14,4175022,4.175022,1.221535102,Generation Alpha
15,4269990,4.26999,1.249321002,Generation Alpha
16,4351721,4.351721,1.273233998,Generation Z
17,4499944,4.499944,1.316601338,Generation Z
18,4515570,4.51557,1.32117322,Generation Z
19,4478055,4.478055,1.310197017,Generation Z
20,4480764,4.480764,1.310989621,Generation Z
21,4515485,4.515485,1.32114835,Generation Z
22,4496120,4.49612,1.315482505,Generation Z
23,4581501,4.581501,1.340463425,Generation Z
24,4869364,4.869364,1.424686875,Generation Z
25,4906967,4.906967,1.435688826,Generation Z
26,4764474,4.764474,1.393997979,Generation Z
27,4631555,4.631555,1.35510831,Generation Z
28,4527973,4.527973,1.324802111,Generation Z
29,4511396,4.511396,1.319951984,Millennial
30,4543064,4.543064,1.329217461,Millennial
31,4575753,4.575753,1.338781665,Millennial
32,4622744,4.622744,1.352530373,Millennial
33,4697801,4.697801,1.374490679,Millennial
34,4782320,4.78232,1.399219393,Millennial
35,4815592,4.815592,1.408954171,Millennial
36,4673999,4.673999,1.367526648,Millennial
37,4593584,4.593584,1.34399869,Millennial
38,4534325,4.534325,1.32666059,Millennial
39,4553803,4.553803,1.332359497,Millennial
40,4532076,4.532076,1.326002574,Millennial
41,4402175,4.402175,1.287995916,Millennial
42,4445939,4.445939,1.300800462,Millennial
43,4407374,4.407374,1.289517048,Millennial
44,4362148,4.362148,1.276284748,Millennial
45,4349504,4.349504,1.272585345,Generation X
46,4138567,4.138567,1.210869035,Generation X
47,4032710,4.03271,1.179897212,Generation X
48,3981371,3.981371,1.16487636,Generation X
49,3853950,3.85395,1.127595305,Generation X
50,3891961,3.891961,1.138716628,Generation X
51,3794286,3.794286,1.110138709,Generation X
52,3850572,3.850572,1.126606964,Generation X
53,4002417,4.002417,1.171034034,Generation X
54,4239446,4.239446,1.240384386,Generation X
55,4198956,4.198956,1.228537752,Generation X
56,4038266,4.038266,1.181522796,Generation X
57,3936645,3.936645,1.15179035,Generation X
58,3932339,3.932339,1.150530493,Generation X
59,4006693,4.006693,1.172285114,Generation X
60,4165059,4.165059,1.21862011,Generation X
61,4249243,4.249243,1.243250809,Baby Boomer
62,4235851,4.235851,1.239332555,Baby Boomer
63,4202552,4.202552,1.229589876,Baby Boomer
64,4224112,4.224112,1.235897938,Baby Boomer
65,4155651,4.155651,1.215867501,Baby Boomer
66,4053717,4.053717,1.186043476,Baby Boomer
67,4009421,4.009421,1.173083277,Baby Boomer
68,3937544,3.937544,1.152053381,Baby Boomer
69,3765126,3.765126,1.101607026,Baby Boomer
70,3676071,3.676071,1.075551162,Baby Boomer
71,3513126,3.513126,1.027876434,Baby Boomer
72,3351950,3.35195,0.980719283,Baby Boomer
73,3183604,3.183604,0.931464322,Baby Boomer
74,3041941,3.041941,0.890016318,Baby Boomer
75,2880970,2.88097,0.842919147,Baby Boomer
76,2760961,2.760961,0.807806707,Baby Boomer
77,2662822,2.662822,0.77909303,Baby Boomer
78,2712909,2.712909,0.793747571,Baby Boomer
79,1941929,1.941929,0.568172919,Baby Boomer
80,1835073,1.835073,0.536908808,Silent Generation
81,1733996,1.733996,0.507335525,Silent Generation
82,1707298,1.707298,0.499524179,Silent Generation
83,1418183,1.418183,0.414934416,Silent Generation
84,1233760,1.23376,0.360975618,Silent Generation
85,1089965,1.089965,0.31890383,Silent Generation
86,968175,0.968175,0.283270303,Silent Generation
87,862937,0.862937,0.252479588,Silent Generation
88,732973,0.732973,0.214454498,Silent Generation
89,638772,0.638772,0.186893008,Silent Generation
90,557041,0.557041,0.162980012,Silent Generation
91,445826,0.445826,0.130440536,Silent Generation
92,385176,0.385176,0.112695455,Silent Generation
93,320003,0.320003,0.093627027,Silent Generation
94,263215,0.263215,0.077011896,Silent Generation
95,214551,0.214551,0.0627737,Silent Generation
96,161685,0.161685,0.047306075,Silent Generation
97,124803,0.124803,0.036515076,Silent Generation
98,92407,0.092407,0.027036599,Silent Generation
99,64325,0.064325,0.018820319,Silent Generation
100,119182,0.119182,0.034870474,Silent Generation
