generation,percent,group
Generation Alpha,18.5,U.S. Population
Generation Z,17.4,U.S. Population
Millennial,21.4,U.S. Population
Generation X,18.8,U.S. Population
Baby Boomer,19.5,U.S. Population
Silent Generation,4.4,U.S. Population
Generation Alpha,0,House of Representatives
Generation Z,0.3,House of Representatives
Millennial,16.3,House of Representatives
Generation X,41.7,House of Representatives
Baby Boomer,37.8,House of Representatives
Silent Generation,3.9,House of Representatives
Generation Alpha,0,Senate
Generation Z,0,Senate
Millennial,4,Senate
Generation X,28,Senate
Baby Boomer,62,Senate
Silent Generation,6,Senate
