first_name,last_name,birthday,age,gender,party,chamber,state,birthyear,generation
Maria,Cantwell,1958-10-13,67,F,Democrat,Senate,WA,1958,Baby Boomer
Amy,Klobuchar,1960-05-25,66,F,Democrat,Senate,MN,1960,Baby Boomer
Bernard,Sanders,1941-09-08,84,M,Independent,Senate,VT,1941,Silent Generation
Sheldon,Whitehouse,1955-10-20,70,M,Democrat,Senate,RI,1955,Baby Boomer
John,Barrasso,1952-07-21,73,M,Republican,Senate,WY,1952,Baby Boomer
Roger,Wicker,1951-07-05,74,M,Republican,Senate,MS,1951,Baby Boomer
Susan,Collins,1952-12-07,73,F,Republican,Senate,ME,1952,Baby Boomer
John,Cornyn,1952-02-02,74,M,Republican,Senate,TX,1952,Baby Boomer
Richard,Durbin,1944-11-21,81,M,Democrat,Senate,IL,1944,Silent Generation
Lindsey,Graham,1955-07-09,70,M,Republican,Senate,SC,1955,Baby Boomer
Mitch,McConnell,1942-02-20,84,M,Republican,Senate,KY,1942,Silent Generation
Jeff,Merkley,1956-10-24,69,M,Democrat,Senate,OR,1956,Baby Boomer
John,Reed,1949-11-12,76,M,Democrat,Senate,RI,1949,Baby Boomer
James,Risch,1943-05-03,83,M,Republican,Senate,ID,1943,Silent Generation
Jeanne,Shaheen,1947-01-28,79,F,Democrat,Senate,NH,1947,Baby Boomer
Mark,Warner,1954-12-15,71,M,Democrat,Senate,VA,1954,Baby Boomer
Kirsten,Gillibrand,1966-12-09,59,F,Democrat,Senate,NY,1966,Generation X
Christopher,Coons,1963-09-09,62,M,Democrat,Senate,DE,1963,Baby Boomer
Robert,Aderholt,1965-07-22,60,M,Republican,House,AL,1965,Generation X
Tammy,Baldwin,1962-02-11,64,F,Democrat,Senate,WI,1962,Baby Boomer
Michael,Bennet,1964-11-28,61,M,Democrat,Senate,CO,1964,Baby Boomer
Gus,Bilirakis,1963-02-08,63,M,Republican,House,FL,1963,Baby Boomer
Sanford,Bishop,1947-02-04,79,M,Democrat,House,GA,1947,Baby Boomer
Marsha,Blackburn,1952-06-06,73,F,Republican,Senate,TN,1952,Baby Boomer
Richard,Blumenthal,1946-02-13,80,M,Democrat,Senate,CT,1946,Baby Boomer
John,Boozman,1950-12-10,75,M,Republican,Senate,AR,1950,Baby Boomer
Vern,Buchanan,1951-05-08,75,M,Republican,House,FL,1951,Baby Boomer
Ken,Calvert,1953-06-08,72,M,Republican,House,CA,1953,Baby Boomer
Shelley,Capito,1953-11-26,72,F,Republican,Senate,WV,1953,Baby Boomer
André,Carson,1974-10-16,51,M,Democrat,House,IN,1974,Generation X
John,Carter,1941-11-06,84,M,Republican,House,TX,1941,Silent Generation
Bill,Cassidy,1957-09-28,68,M,Republican,Senate,LA,1957,Baby Boomer
Kathy,Castor,1966-08-20,59,F,Democrat,House,FL,1966,Generation X
Judy,Chu,1953-07-07,72,F,Democrat,House,CA,1953,Baby Boomer
Yvette,Clarke,1964-11-21,61,F,Democrat,House,NY,1964,Baby Boomer
Emanuel,Cleaver,1944-10-26,81,M,Democrat,House,MO,1944,Silent Generation
James,Clyburn,1940-07-21,85,M,Democrat,House,SC,1940,Silent Generation
Steve,Cohen,1949-05-24,77,M,Democrat,House,TN,1949,Baby Boomer
Tom,Cole,1949-04-28,77,M,Republican,House,OK,1949,Baby Boomer
Jim,Costa,1952-04-13,74,M,Democrat,House,CA,1952,Baby Boomer
Joe,Courtney,1953-04-06,73,M,Democrat,House,CT,1953,Baby Boomer
Michael,Crapo,1951-05-20,75,M,Republican,Senate,ID,1951,Baby Boomer
Eric,Crawford,1966-01-22,60,M,Republican,House,AR,1966,Generation X
Henry,Cuellar,1955-09-19,70,M,Democrat,House,TX,1955,Baby Boomer
Danny,Davis,1941-09-06,84,M,Democrat,House,IL,1941,Silent Generation
Diana,DeGette,1957-07-29,68,F,Democrat,House,CO,1957,Baby Boomer
Rosa,DeLauro,1943-03-02,83,F,Democrat,House,CT,1943,Silent Generation
Scott,DesJarlais,1964-02-21,62,M,Republican,House,TN,1964,Baby Boomer
Mario,Diaz-Balart,1961-09-25,64,M,Republican,House,FL,1961,Baby Boomer
Lloyd,Doggett,1946-10-06,79,M,Democrat,House,TX,1946,Baby Boomer
Charles,Fleischmann,1962-10-11,63,M,Republican,House,TN,1962,Baby Boomer
Virginia,Foxx,1943-06-29,82,F,Republican,House,NC,1943,Silent Generation
