year,co2,diff
1994,27.27,27.27
1995,27.3,0.03
1996,28.62,1.32
1997,28.27,-0.35
1998,26.82,-1.45
1999,27.39,0.57
2000,28.38,0.99
2001,28.75,0.37
2002,28.9,0.15
2003,28.91,0.01
2004,29.96,1.05
2005,30.09,0.13
2006,30.93,0.84
2007,31.35,0.42
2008,32.5,1.15
2009,34.17,1.67
2010,34.37,0.2
2011,35.51,1.14
2012,36.83,1.32
2013,37.12,0.29
2014,37.93,0.81
2015,37.97,0.04
2016,37.61,-0.36
2017,38.16,0.55
2018,38.15,-0.01
2019,38.46,0.31
2020,38.78,0.32
2021,39.11,0.33
2022,39.35,0.24
2023,39.79,0.44
2024,38.1,-1.69
