team,record,avg_age,cap_total,year,logo
ANA ,43-33-6 (92),27.1,83.827257 ,2025,https://media.spotrac.com/images/thumb/ana_2024.png
ANA ,35-37-10 (80),26.2,82.446873 ,2024,https://media.spotrac.com/images/thumb/nhl_ana.png
BOS ,45-27-10 (100),27.2,94.610342 ,2025,https://media.spotrac.com/images/thumb/nhl_bos.png
BOS ,33-39-10 (76),26.1,84.787437 ,2024,https://media.spotrac.com/images/thumb/nhl_bos.png
BUF ,50-23-9 (109),26.8,94.577498 ,2025,https://media.spotrac.com/images/thumb/nhl_buf.png
BUF ,36-39-7 (79),25,79.588192 ,2024,https://media.spotrac.com/images/thumb/nhl_buf.png
CAR ,53-22-7 (113),29.1,87.122785 ,2025,https://media.spotrac.com/images/thumb/nhl_car.png
CAR ,47-30-5 (99),27.7,88.389802 ,2024,https://media.spotrac.com/images/thumb/nhl_car.png
CBJ ,40-30-12 (92),27.5,86.750551 ,2025,https://media.spotrac.com/images/thumb/nhl_cbj.png
CBJ ,40-33-9 (89),27.5,73.079991 ,2024,https://media.spotrac.com/images/thumb/nhl_cbj.png
CGY ,34-39-9 (77),26,85.952528 ,2025,https://media.spotrac.com/images/thumb/nhl_cgy.png
CGY ,41-27-14 (96),26.9,70.630364 ,2024,https://media.spotrac.com/images/thumb/nhl_cgy.png
CHI ,29-39-14 (72),25,80.376257 ,2025,https://media.spotrac.com/images/thumb/nhl_chi.png
CHI ,25-46-11 (61),26.8,85.714173 ,2024,https://media.spotrac.com/images/thumb/nhl_chi.png
COL ,55-16-11 (121),29.7,94.791801 ,2025,https://media.spotrac.com/images/thumb/nhl_col.png
COL ,49-29-4 (102),28.3,98.787703 ,2024,https://media.spotrac.com/images/thumb/nhl_col.png
DAL ,50-20-12 (112),28.4,97.996001 ,2025,https://media.spotrac.com/images/thumb/nhl_dal.png
DAL ,50-26-6 (106),29.2,96.943395 ,2024,https://media.spotrac.com/images/thumb/nhl_dal.png
DET ,41-31-10 (92),29.3,83.079878 ,2025,https://media.spotrac.com/images/thumb/nhl_det.png
DET ,39-35-8 (86),28.5,86.940171 ,2024,https://media.spotrac.com/images/thumb/nhl_det.png
EDM ,41-30-11 (93),28.3,97.738860 ,2025,https://media.spotrac.com/images/thumb/nhl_edm.png
EDM ,48-29-5 (101),29.5,94.318159 ,2024,https://media.spotrac.com/images/thumb/nhl_edm.png
FLA ,40-38-4 (84),28.4,103.550828 ,2025,https://media.spotrac.com/images/thumb/nhl_fla.png
FLA ,47-31-4 (98),28.6,100.894705 ,2024,https://media.spotrac.com/images/thumb/nhl_fla.png
LAK ,35-27-20 (90),29.3,91.634624 ,2025,https://media.spotrac.com/images/thumb/lak_2024.png
LAK ,48-25-9 (105),27.4,89.380944 ,2024,https://media.spotrac.com/images/thumb/lak_2024.png
MIN ,46-24-12 (104),29.6,93.211924 ,2025,https://media.spotrac.com/images/thumb/nhl_min.png
MIN ,45-30-7 (97),29.9,90.359811 ,2024,https://media.spotrac.com/images/thumb/nhl_min.png
MTL ,48-24-10 (106),25.6,93.701889 ,2025,https://media.spotrac.com/images/thumb/nhl_mtl.png
MTL ,40-31-11 (91),26,92.364711 ,2024,https://media.spotrac.com/images/thumb/nhl_mtl.png
NJD ,42-37-3 (87),28.6,97.753351 ,2025,https://media.spotrac.com/images/thumb/nhl_nj.png
NJD ,42-33-7 (91),28.1,92.704377 ,2024,https://media.spotrac.com/images/thumb/nhl_nj.png
NSH ,38-34-10 (86),26.9,88.282188 ,2025,https://media.spotrac.com/images/thumb/nhl_nsh.png
NSH ,30-44-8 (68),28,76.862659 ,2024,https://media.spotrac.com/images/thumb/nhl_nsh.png
NYI ,43-34-5 (91),29.3,98.863361 ,2025,https://media.spotrac.com/images/thumb/nhl_nyi.png
NYI ,35-35-12 (82),28.8,90.276828 ,2024,https://media.spotrac.com/images/thumb/nhl_nyi.png
NYR ,34-39-9 (77),26.6,93.684253 ,2025,https://media.spotrac.com/images/thumb/nhl_nyr.png
NYR ,39-36-7 (85),27.3,85.722876 ,2024,https://media.spotrac.com/images/thumb/nhl_nyr.png
OTT ,44-27-11 (99),28.3,93.164026 ,2025,https://media.spotrac.com/images/thumb/nhl_ott.png
OTT ,45-30-7 (97),27.5,88.270199 ,2024,https://media.spotrac.com/images/thumb/nhl_ott.png
PHI ,43-27-12 (98),27,88.417127 ,2025,https://media.spotrac.com/images/thumb/nhl_phi.png
PHI ,33-39-10 (76),26.1,81.828955 ,2024,https://media.spotrac.com/images/thumb/nhl_phi.png
PIT ,41-25-16 (98),29,87.127273 ,2025,https://media.spotrac.com/images/thumb/nhl_pit.png
PIT ,34-36-12 (80),27.8,84.933883 ,2024,https://media.spotrac.com/images/thumb/nhl_pit.png
SEA ,34-37-11 (79),27.6,91.168009 ,2025,https://media.spotrac.com/images/thumb/nhl_sea.png
SEA ,35-41-6 (76),27.7,78.594281 ,2024,https://media.spotrac.com/images/thumb/nhl_sea.png
SJS ,39-35-8 (86),26.5,90.729494 ,2025,https://media.spotrac.com/images/thumb/nhl_sj.png
SJS ,20-50-12 (52),25.5,65.516547 ,2024,https://media.spotrac.com/images/thumb/nhl_sj.png
STL ,37-33-12 (86),26.9,91.805426 ,2025,https://media.spotrac.com/images/thumb/nhl_stl.png
STL ,44-30-8 (96),28,87.765050 ,2024,https://media.spotrac.com/images/thumb/nhl_stl.png
TBL ,50-26-6 (106),29.1,96.635857 ,2025,https://media.spotrac.com/images/thumb/nhl_tb1.png
TBL ,47-27-8 (102),28.7,93.482289 ,2024,https://media.spotrac.com/images/thumb/nhl_tb1.png
TOR ,32-36-14 (78),27.7,93.328266 ,2025,https://media.spotrac.com/images/thumb/nhl_tor.png
TOR ,52-26-4 (108),29,96.561710 ,2024,https://media.spotrac.com/images/thumb/nhl_tor.png
UTA ,-,28,90.017781 ,2025,https://media.spotrac.com/images/thumb/uta_2025.png
UTA ,38-31-13 (89),27.8,75.623374 ,2024,https://media.spotrac.com/images/thumb/uta_2025.png
VAN ,25-49-8 (58),25.5,93.479473 ,2025,https://media.spotrac.com/images/thumb/nhl_van.png
VAN ,38-30-14 (90),27.3,82.435259 ,2024,https://media.spotrac.com/images/thumb/nhl_van.png
VGK ,39-26-17 (95),29.8,107.487474 ,2025,https://media.spotrac.com/images/thumb/nhl_vgs.png
VGK ,50-22-10 (110),28.4,91.053909 ,2024,https://media.spotrac.com/images/thumb/nhl_vgs.png
