year,title,author,female,total_weeks,first_week,debut_rank,best_rank
1945,A LION IS IN THE STREETS,Adria Locke Langley,1,30,6/10/45,5,1
1940,AFTER MANY A SUMMER DIES THE SWAN,Aldous Huxley,0,3,2/5/40,6,5
1992,TURTLE MOON,Alice Hoffman,1,3,5/24/92,10,10
2003,THE PROBABLE FUTURE,Alice Hoffman,1,1,7/13/03,8,15
1950,MR.MIDSHIPMAN HORNBLOWER,C.S. Forester,0,8,4/2/50,1,8
2004,BLOWOUT,Catherine Coulter,1,4,7/4/04,13,6
2019,BLESSING IN DISGUISE,Danielle Steel,1,4,5/26/19,6,3
2000,FALSE MEMORY,Dean Koontz,0,9,1/16/00,9,4
2016,ZERO K,Don DeLillo,0,2,5/22/16,9,12
1978,PRELUDE TO TERROR,Helen MacInnes,1,11,11/12/78,7,6
1982,"PUBLIC SMILES, PRIVATE TEARS",Helen Van Slyke with James Elward,1,14,4/25/82,1,7
1943,IN BED WE CRY,Ilka Chase,1,12,11/22/43,5,3
1980,THE CLAN OF THE CAVE BEAR,Jean M. Auel,1,18,10/12/80,2,8
1997,DEJA DEAD,Kathy Reichs,1,7,9/14/97,10,8
1989,RED PHOENIX,Larry Bond,0,15,6/4/89,6,4
2008,SWALLOWING DARKNESS,Laurell K. Hamilton,1,2,11/23/08,11,3
1995,REDEMPTION,Leon Uris,0,4,7/2/95,7,12
2011,SILENT MERCY,Linda Fairstein,1,1,3/27/11,8,10
2014,THE LONG WAY HOME,Louise Penny,1,2,9/14/14,12,1
1995,PHENOMENAL WOMAN,Maya Angelou,1,10,3/26/95,7,7
1986,Q CLEARANCE,Peter Benchley,0,2,7/27/86,15,15
2002,THE THOUSAND ORCS,R. A. Salvatore,0,2,11/3/02,6,11
2011,LOST DECEMBER,Richard Paul Evans,0,3,11/20/11,2,5
2016,STING,Sandra Brown,1,4,9/4/16,10,2
1987,THE BONFIRE OF THE VANITIES,Tom Wolfe,0,56,11/8/87,1,1
