id,type,campus,capacity,location_description,url
1,ZAP station,West Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
2,Individual bike locker,East Bank,24,"Under the skyway between Smith and Kolthoff Halls, next to the bike and pedestrian path.",https://pts.umn.edu/walk-bike-and-scooter/safety/bike-lockers-and-shelters
3,ZAP station,St. Paul,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
4,Individual bike locker,East Bank,4,"North side of Washington Ave Ramp next to the contract entrance, facing the Physics/Nanotechnology Building.",https://pts.umn.edu/walk-bike-and-scooter/safety/bike-lockers-and-shelters
5,ZAP station,St. Paul,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
6,ZAP station,West Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
7,Fix-it station,East Bank,,Next to the southwest corner of the Social Sciences Building (the side facing Wilson Library).,https://pts.umn.edu/walk-bike-and-scooter/go-mode/bike
8,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
9,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
10,Fix-it station,East Bank,,"On the west side of the elevated Coffman pedestrian plaza, next to Weisman Art Museum.",https://pts.umn.edu/walk-bike-and-scooter/go-mode/bike
11,Individual bike locker,East Bank,6,Level 1 on the southeast side of University Ave Ramp. Enter via elevator lobby at corner of Walnut St and University Ave.,https://pts.umn.edu/walk-bike-and-scooter/safety/bike-lockers-and-shelters
12,ZAP station,West Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
13,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
14,Individual bike locker,St. Paul,10,"On the ground floor, east side of Gortner Ave Ramp, to the right after entering from Gortner Ave.",https://pts.umn.edu/walk-bike-and-scooter/safety/bike-lockers-and-shelters
15,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
16,Air station,East Bank,,"On the west side of the elevated Coffman pedestrian plaza, next to Weisman Art Museum.",https://pts.umn.edu/walk-bike-and-scooter/go-mode/bike
17,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
18,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
19,Air station,East Bank,,"On the east side of the elevated Coffman pedestrian plaza, next to Nils Hasselmo Hall.",https://pts.umn.edu/walk-bike-and-scooter/go-mode/bike
20,Air station,East Bank,,"At the bike rack across from Eckles Ave, to the southwest of the entrance to the St. Paul Student Center, next to the Campus Connector bus stop.",https://pts.umn.edu/walk-bike-and-scooter/go-mode/bike
21,ZAP station,East Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
22,Individual bike locker,West Bank,6,On the north side of Willey Hall next to the entrance to Mondale Hall and stairs to the parking lot.,https://pts.umn.edu/walk-bike-and-scooter/safety/bike-lockers-and-shelters
23,ZAP station,West Bank,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
24,Individual bike locker,West Bank,13,Next to the contract parking (20th Ave) entrance on the west side of 21st Ave Ramp.,https://pts.umn.edu/walk-bike-and-scooter/safety/bike-lockers-and-shelters
25,ZAP station,St. Paul,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
26,ZAP station,St. Paul,,,https://pts.umn.edu/walk-bike-and-scooter/active-mobility/zap-rewards-program
