bldg_num,name,legal_name,abbr,campus,address,type,TRI_BLDG_T,TRI_TRITEN,TRI_YEAR_O,TRI_DATE_O,TRI_YEAR_L,mortenson_dates,ada,nrhp_status,gross_sqft,assignable_sqft,net_sqft,structural_sqft,usable_sqft,BLDG_DETAI,BLDG_PHOTO,women_restrooms,men_restrooms,undesignated_restrooms,classrooms,laboratories,offices_spaces,study_facilities,bins_bottles_and_cans,bins_compost,bins_paper,bins_trash_only
332,Cattle Feeding Shed No 1,Cattle Feeding Shed No. 1,CFS1,St. Paul Campus,"1894 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1920,1/1/20,NA,NA,Partially Accessible,NA,6031.25,5767.38,0,263.88,5767.38,http://campusmaps.umn.edu/cattle-feeding-shed-no-1,http://egis.umn.edu/building_photos/02-332.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
333,Cattle Feeding Shed No 2,Cattle Feeding Shed No. 2,CFS2,St. Paul Campus,"1896 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1915,1/1/15,NA,NA,Partially Accessible,NA,6031.25,5767.38,0,263.88,5767.38,http://campusmaps.umn.edu/cattle-feeding-shed-no-2,http://egis.umn.edu/building_photos/02-333.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
302,Beef Cattle Barn,Beef Cattle Barn,BCB,St. Paul Campus,"1920 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1917,1/1/17,NA,NA,Partially Accessible,ELIGIBLE,23774.92,21235.8,1015.78,1523.34,22251.58,http://campusmaps.umn.edu/beef-cattle-barn,http://egis.umn.edu/building_photos/site-building/02-302.jpg,NA,NA,NA,0,0,2,0,NA,NA,NA,NA
343,Botany Field House,Botany Field House,BFH,St. Paul Campus,"2033 Folwell Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1923,1/1/23,NA,NA,Not Accessible,NA,1320.39,1113.32,34.04,173.03,1147.36,http://campusmaps.umn.edu/botany-field-house,https://egis.umn.edu/building_photos/02-343.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
345,Agronomy Seed House,Agronomy Seed House,AGRSH,St. Paul Campus,"1472 Gortner Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1917,1/1/17,NA,NA,Accessible,NA,8717.72,4998.85,2480,1238.87,7478.85,http://campusmaps.umn.edu/agronomy-seed-house,http://egis.umn.edu/building_photos/site-building/02-345.jpg,0,0,1,0,0,1,0,1,1,1,2
346,Bee Lab Storage,Bee Lab Storage Building,BLABSTOR,St. Paul Campus,"1634 Gortner Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,NA,6/23/20,NA,NA,NA,NA,901.46,772.08,0,129.38,772.08,https://campusmaps.umn.edu/bee-lab-storage-building,https://egis.umn.edu/building_photos/02-346.jpg,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
347,Bee Research Facility,Bee Research Facility,BRF,St. Paul Campus,"1634 Gortner Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,2016,1/1/16,NA,NA,Accessible,NA,10125.07,7602.2,1595.5,927.38,9197.7,https://campusmaps.umn.edu/bee-research-facility,http://egis.umn.edu/building_photos/02-347.jpg,1,1,0,0,10,7,0,3,7,2,6
351,Hog Barn No 3,Hog Barn Number 3,HOGB3,St. Paul Campus,"1845 Buford Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1927,1/1/27,NA,NA,Not Accessible,ELIGIBLE,4913.88,4162.02,280.2,471.67,4442.21,http://campusmaps.umn.edu/hog-barn-number-3,http://egis.umn.edu/building_photos/02-351.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
355,Farm Crops Field House,Farm Crops Field House,FCFH,St. Paul Campus,"1922 Hendon Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1932,1/1/32,NA,NA,Not Accessible,ELIGIBLE,10624.87,6330.28,459.35,3835.24,6789.64,http://campusmaps.umn.edu/farm-crops-field-house,http://egis.umn.edu/building_photos/02-355.jpg,NA,NA,NA,0,0,0,0,1,0,1,1
392,Sheep Research,Sheep Research,SHEEPR,St. Paul Campus,"1794 Dudley Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1964,1/1/64,NA,NA,Not Accessible,NA,8164.63,7826.13,101.42,237.08,7927.55,http://campusmaps.umn.edu/sheep-research,http://egis.umn.edu/building_photos/02-392.jpg,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
388,Crop Service Building,Crop Service Building,CRSERV,St. Paul Campus,"1895 Hendon Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1958,1/1/58,NA,NA,Accessible,NA,21631.93,19708.94,885.62,1037.36,20594.56,http://campusmaps.umn.edu/crop-service-building,http://egis.umn.edu/building_photos/site-building/02-388.jpg,0,0,1,0,12,2,0,3,2,2,3
422,Animal Arena,Animal Arena,ANAREN,St. Paul Campus,"1888 Carter Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1975,1/1/75,NA,NA,Accessible,NA,8620.4,6859.31,1079.4,681.7,7938.71,http://campusmaps.umn.edu/animal-arena,http://egis.umn.edu/building_photos/AnAren/photo.jpg,1,1,0,0,4,0,0,1,3,1,1
433,Field Operations Building,Field Operations Building,FIELDOP,St. Paul Campus,"1606 Fairview Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1986,1/1/86,NA,NA,Not Accessible,NA,1680.44,1552.97,0,127.47,1552.97,http://campusmaps.umn.edu/field-operations-building,https://egis.umn.edu/building_photos/02-433.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
435,Turf Shed,Turf Shed,TURFS,St. Paul Campus,"1604 Fairview Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1950,1/1/50,NA,NA,Not Accessible,NA,1026.4,981.32,0,45.08,981.32,http://campusmaps.umn.edu/turf-shed,https://egis.umn.edu/building_photos/02-435.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
430,Dairy Cattle Teaching and Research,Dairy Cattle Teaching and Research,DCTRC,St. Paul Campus,"1478 Fairview Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1986,1/1/86,NA,NA,Accessible,ELIGIBLE,23902.99,20613.21,2123.21,1166.57,22736.43,http://campusmaps.umn.edu/dairy-cattle-teaching-and-research,http://egis.umn.edu/building_photos/site-building/02-430.jpg,NA,NA,NA,0,0,3,0,1,0,1,3
431,Animal Waste Treatment Center,Animal Waste Treatment Center,ANWTCTR,St. Paul Campus,"1830 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1986,1/1/86,NA,NA,Not Accessible,NA,14393.22,13418,0,975.22,13418,http://campusmaps.umn.edu/animal-waste-treatment-center,http://egis.umn.edu/building_photos/02-431.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
417,Large Animal Holding,Large Animal Holding,LGANH,St. Paul Campus,"1907 Carter Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1973,1/1/73,NA,NA,Not Accessible,NA,22297.25,20877.85,450.87,968.53,21328.72,http://campusmaps.umn.edu/large-animal-holding,http://egis.umn.edu/building_photos/site-building/02-417.jpg,1,1,1,0,2,1,0,0,2,1,5
455,Swine Research Facility,Swine Research Facility,SWNRESFAC,St. Paul Campus,"1850 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1986,1/1/86,NA,NA,Accessible,NA,10558.86,8445.92,1311.51,801.43,9757.43,http://campusmaps.umn.edu/swine-research-facility,http://egis.umn.edu/building_photos/site-building/02-455.jpg,NA,NA,NA,0,4,3,0,NA,NA,NA,NA
456,Large Animal Shelter,Large Animal Shelter,LGANSH,St. Paul Campus,"1907 Carter Avenue, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1989,1/1/89,NA,NA,Partially Accessible,NA,2816,2697,0,119,2697,http://campusmaps.umn.edu/large-animal-shelter,https://campusmaps.umn.edu/sites/campusmaps.umn.edu/files/styles/folwell_full/public/2022-06/large_animal_shelter.jpg?itok=4AQbh_XP,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
463,Poultry Teaching and Research,Poultry Teaching and Research Facility,PTRF,St. Paul Campus,"1835 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1982,1/1/82,NA,NA,Accessible,NA,27648,19435.68,5979.06,2233.25,25414.75,http://campusmaps.umn.edu/poultry-teaching-and-research-facility,http://egis.umn.edu/building_photos/site-building/02-463.jpg,1,1,0,0,2,1,0,NA,NA,NA,NA
464,Agriculture and Landscape Building,Agriculture and Landscape Building,AGLNDBLDG,St. Paul Campus,"1847 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,2006,1/1/06,NA,NA,Accessible,NA,8400,8117.25,0,282.75,8117.25,http://campusmaps.umn.edu/agriculture-and-landscape-building,http://egis.umn.edu/building_photos/site-building/02-464.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
468,Breeding House,Breeding House,BREEDH,St. Paul Campus,"1825 Buford Place, Saint Paul 55108",Academic / Administration,Agricultural,Owned,1933,1/1/33,NA,NA,Partially Accessible,NA,6726.58,6102.74,201.17,422.67,6303.91,http://campusmaps.umn.edu/breeding-house,http://egis.umn.edu/building_photos/02-468.jpg,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
112,Rapson Hall,Ralph Rapson Hall,RAPSONH,Minneapolis Campus,"89 Church Street SE, Minneapolis 55455",Academic / Administration,Arts / Design Lab,Owned,1958,1/1/58,2001,NA,Accessible,ELIGIBLE,164115.54,83503.74,44398.61,36213.19,127902.35,http://campusmaps.umn.edu/ralph-rapson-hall,http://egis.umn.edu/building_photos/site-building/01-112.jpg,11,8,1,10,39,74,2,34,40,40,61
98,University Stores South,University Stores South,USTORS,Minneapolis Campus,"879 29th Avenue SE, Minneapolis 55414",Academic / Administration,Arts / Design Lab,Owned,1954,1/1/54,2002,NA,Accessible,NA,55183.5,38988.8,12595.45,3599.25,51584.25,http://campusmaps.umn.edu/university-stores-south,https://campusmaps.umn.edu/sites/campusmaps.umn.edu/files/styles/folwell_full/public/2022-06/university_stores_south.jpg?itok=5g-QEvX6,2,3,1,0,51,36,0,6,8,9,7
127,1425 University Ave SE,1425 University Avenue SE,1425UNIV,Minneapolis Campus,"1425 University Avenue SE, Minneapolis 55455",Academic / Administration,Arts / Design Lab,Owned,1922,1/1/22,NA,NA,Partially Accessible,ELIGIBLE,20864.19,10710.64,7156.82,2996.74,17867.46,http://campusmaps.umn.edu/1425-university-avenue-se,http://egis.umn.edu/building_photos/site-building/01-127.jpg,1,1,3,0,11,26,0,3,4,3,4
215,Ferguson Hall,Ferguson Hall,FERGH,Minneapolis Campus,"2106 4th Street S, Minneapolis 55455",Academic / Administration,Arts / Design Lab,Owned,1984,1/1/84,NA,NA,Accessible,NA,123954.25,66508.71,33494.31,23951.23,100003.02,http://campusmaps.umn.edu/ferguson-hall,http://egis.umn.edu/building_photos/site-building/01-215.jpg,3,3,2,17,112,92,8,27,26,33,27
