rank,country,happiness,gdp,life_exp
156,South Sudan,2.853,582.824,56.4
145,Burundi,3.775,855.73272,62
155,Central African Republic,3.083,1145.09564,53.8
112,Somalia,4.668,1491.1076,64.1
123,Mozambique,4.466,1528.88988,63.1
141,Liberia,3.975,1575.76665,60.9
114,Niger,4.628,1612.63735,58
150,Malawi,3.41,1687.28945,61.8
143,Madagascar,3.933,1707.83154,62.3
151,Yemen,3.38,1843.465,68.8
115,Burkina Faso,4.587,2391.53627,67.5
134,Ethiopia,4.286,2437.97046,64.5
139,Togo,4.085,2501.03087,63.5
132,Chad,4.35,2604.91637,57.3
152,Rwanda,3.334,2667.46458,63.4
136,Uganda,4.189,2689.41009,64.9
120,Gambia,4.516,2750.82132,66.6
144,Lesotho,3.802,2773.2864,56.5
129,Sierra Leone,4.374,2855.22907,57.8
128,Mali,4.39,2916.17069,62.6
154,Afghanistan,3.203,2927.24514,66.2
102,Benin,4.883,3281.1047,64.9
146,Zimbabwe,3.663,3294.80389,64.3
142,Comoros,3.973,3357.89791,75.7
147,Haiti,3.597,3381.58479,61.6
153,Tanzania,3.231,3484.63257,68.3
118,Guinea,4.534,3557.46234,61.4
138,Zambia,4.107,3591.56419,60.2
74,Tajikistan,5.467,3649.88375,73.3
111,Senegal,4.681,4070.61227,69.7
100,Nepal,4.913,4607.52455,73.3
149,Syria,3.462,4825.40602,74.1
96,Cameroon,5.044,4882.3556,60.7
121,Kenya,4.509,5171.71264,68.7
67,Pakistan,5.653,5295.95295,69.2
85,Nigeria,5.265,5628.17765,63.4
122,Mauritania,4.49,6162.21045,68
59,Honduras,5.86,6264.01884,75.2
109,Cambodia,4.7,6448.88456,73.3
98,Ghana,4.996,6508.24652,64.6
131,Myanmar,4.36,6562.98898,65.9
45,Nicaragua,6.105,6756.59376,74.7
125,Bangladesh,4.456,6838.32612,70.8
140,India,4.015,7930.09113,70.9
108,Venezuela,4.707,8116.199,72.4
41,Uzbekistan,6.174,8755.12594,71.7
89,Morocco,5.208,8768.17578,72.5
101,Jordan,4.906,9288.52709,77.6
69,Philippines,5.631,9452.29397,71.6
61,Bolivia,5.779,9985.23049,71.5
56,Jamaica,5.89,10216.06554,75.1
35,El Salvador,6.253,10543.93833,72.8
113,Namibia,4.639,10813.30447,65.3
27,Guatemala,6.436,11466.37626,73.1
94,Vietnam,5.175,11628.61391,75.7
92,Indonesia,5.192,12757.78509,72.5
124,Tunisia,4.461,13249.22409,75.8
